Symbol,Company Name,Industry,Series,ISIN Code
INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,EQ,INE095A01012
NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services,EQ,INE663F01032
INFY.NS,Infosys Ltd.,Information Technology,EQ,INE009A01021
INOXWIND.NS,Inox Wind Ltd.,Capital Goods,EQ,INE066P01011
INTELLECT.NS,Intellect Design Arena Ltd.,Information Technology,EQ,INE306R01017
INDIGO.NS,InterGlobe Aviation Ltd.,Services,EQ,INE646L01027
IGIL.NS,International Gemmological Institute (India) Ltd.,Services,EQ,INE0Q9301021
IKS.NS,Inventurus Knowledge Solutions Ltd.,Information Technology,EQ,INE115Q01022
IPCALAB.NS,Ipca Laboratories Ltd.,Healthcare,EQ,INE571A01038
JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,EQ,INE572A01036
JKCEMENT.NS,J.K. Cement Ltd.,Construction Materials,EQ,INE823G01014
JBMA.NS,JBM Auto Ltd.,Automobile and Auto Components,EQ,INE927D01051
JKTYRE.NS,JK Tyre & Industries Ltd.,Automobile and Auto Components,EQ,INE573A01042
JMFINANCIL.NS,JM Financial Ltd.,Financial Services,EQ,INE780C01023
JSWENERGY.NS,JSW Energy Ltd.,Power,EQ,INE121E01018
JSWINFRA.NS,JSW Infrastructure Ltd.,Services,EQ,INE880J01026
JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining,EQ,INE019A01038
JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power,EQ,INE351F01018
J&KBANK.NS,Jammu & Kashmir Bank Ltd.,Financial Services,EQ,INE168A01041
JINDALSAW.NS,Jindal Saw Ltd.,Capital Goods,EQ,INE324A01032
JSL.NS,Jindal Stainless Ltd.,Metals & Mining,EQ,INE220G01021
JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining,EQ,INE749A01030
JIOFIN.NS,Jio Financial Services Ltd.,Financial Services,EQ,INE758E01017
JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services,EQ,INE797F01020
JUBLINGREA.NS,Jubilant Ingrevia Ltd.,Chemicals,EQ,INE0BY001018
JUBLPHARMA.NS,Jubilant Pharmova Ltd.,Healthcare,EQ,INE700A01033
JWL.NS,Jupiter Wagons Ltd.,Capital Goods,EQ,INE209L01016
JYOTHYLAB.NS,Jyothy Labs Ltd.,Fast Moving Consumer Goods,EQ,INE668F01031
JYOTICNC.NS,Jyoti CNC Automation Ltd.,Capital Goods,EQ,INE980O01024
KPRMILL.NS,K.P.R. Mill Ltd.,Textiles,EQ,INE930H01031
KEI.NS,KEI Industries Ltd.,Capital Goods,EQ,INE878B01027
KPITTECH.NS,KPIT Technologies Ltd.,Information Technology,EQ,INE04I401011
KSB.NS,KSB Ltd.,Capital Goods,EQ,INE999A01023
KAJARIACER.NS,Kajaria Ceramics Ltd.,Consumer Durables,EQ,INE217B01036
KPIL.NS,Kalpataru Projects International Ltd.,Construction,EQ,INE220B01022
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables,EQ,INE303R01014
KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services,EQ,INE036D01028
KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods,EQ,INE918Z01012
KEC.NS,Kec International Ltd.,Construction,EQ,INE389H01022
KFINTECH.NS,Kfin Technologies Ltd.,Financial Services,EQ,INE138Y01010
KIRLOSBROS.NS,Kirloskar Brothers Ltd.,Capital Goods,EQ,INE732A01036
KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Capital Goods,EQ,INE146L01010
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services,EQ,INE237A01028
KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare,EQ,INE967H01025
LTF.NS,L&T Finance Ltd.,Financial Services,EQ,INE498L01015
LTTS.NS,L&T Technology Services Ltd.,Information Technology,EQ,INE010V01017
LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,EQ,INE115A01026
LTFOODS.NS,LT Foods Ltd.,Fast Moving Consumer Goods,EQ,INE818H01020
LTIM.NS,LTIMindtree Ltd.,Information Technology,EQ,INE214T01019
LT.NS,Larsen & Toubro Ltd.,Construction,EQ,INE018A01030
LATENTVIEW.NS,Latent View Analytics Ltd.,Information Technology,EQ,INE0I7C01011
LAURUSLABS.NS,Laurus Labs Ltd.,Healthcare,EQ,INE947Q01028
THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,EQ,INE0AQ201015
LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Services,EQ,INE970X01018
LICI.NS,Life Insurance Corporation of India,Financial Services,EQ,INE0J1Y01017
LINDEINDIA.NS,Linde India Ltd.,Chemicals,EQ,INE473A01011
LLOYDSME.NS,Lloyds Metals And Energy Ltd.,Metals & Mining,EQ,INE281B01032
LODHA.NS,Lodha Developers Ltd.,Realty,EQ,INE670K01029
LUPIN.NS,Lupin Ltd.,Healthcare,EQ,INE326A01037
MMTC.NS,MMTC Ltd.,Services,EQ,INE123F01029
MRF.NS,MRF Ltd.,Automobile and Auto Components,EQ,INE883A01011
MGL.NS,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE002S01010
MAHSCOOTER.NS,Maharashtra Scooters Ltd.,Financial Services,EQ,INE288A01013
MAHSEAMLES.NS,Maharashtra Seamless Ltd.,Capital Goods,EQ,INE271B01025
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,EQ,INE774D01024
M&M.NS,Mahindra & Mahindra Ltd.,Automobile and Auto Components,EQ,INE101A01026
MANAPPURAM.NS,Manappuram Finance Ltd.,Financial Services,EQ,INE522D01027
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,EQ,INE103A01014
MANKIND.NS,Mankind Pharma Ltd.,Healthcare,EQ,INE634S01028
MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,EQ,INE196A01026
MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components,EQ,INE585B01010
MFSL.NS,Max Financial Services Ltd.,Financial Services,EQ,INE180A01020
MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,EQ,INE027H01010
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,EQ,INE249Z01020
METROPOLIS.NS,Metropolis Healthcare Ltd.,Healthcare,EQ,INE112L01020
MINDACORP.NS,Minda Corporation Ltd.,Automobile and Auto Components,EQ,INE842C01021
MSUMI.NS,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,EQ,INE0FS801015
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services,EQ,INE338I01027
MPHASIS.NS,MphasiS Ltd.,Information Technology,EQ,INE356A01018
MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services,EQ,INE745G01035
MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services,EQ,INE414G01012
NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare,EQ,INE987B01026
NBCC.NS,NBCC (India) Ltd.,Construction,EQ,INE095N01031
NCC.NS,NCC Ltd.,Construction,EQ,INE868B01028
NHPC.NS,NHPC Ltd.,Power,EQ,INE848E01016
NLCINDIA.NS,NLC India Ltd.,Power,EQ,INE589A01014
NMDC.NS,NMDC Ltd.,Metals & Mining,EQ,INE584A01023
NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining,EQ,INE0NNS01018
NTPCGREEN.NS,NTPC Green Energy Ltd.,Power,EQ,INE0ONG01011
NTPC.NS,NTPC Ltd.,Power,EQ,INE733E01010
NH.NS,Narayana Hrudayalaya Ltd.,Healthcare,EQ,INE410P01011
NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining,EQ,INE139A01034
NAVA.NS,Nava Ltd.,Power,EQ,INE725A01030
NAVINFLUOR.NS,Navin Fluorine International Ltd.,Chemicals,EQ,INE048G01026
NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,EQ,INE239A01024
NETWEB.NS,Netweb Technologies India Ltd.,Information Technology,EQ,INE0NT901020
NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare,EQ,INE794A01010
NEWGEN.NS,Newgen Software Technologies Ltd.,Information Technology,EQ,INE619B01017
NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,Financial Services,EQ,INE298J01013
NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,EQ,INE995S01015
NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services,EQ,INE531F01015
NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Construction Materials,EQ,INE118D01016
OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty,EQ,INE093I01010
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE213A01029
OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,EQ,INE274J01014
OLAELEC.NS,Ola Electric Mobility Ltd.,Automobile and Auto Components,EQ,INE0LXG01040
OLECTRA.NS,Olectra Greentech Ltd.,Automobile and Auto Components,EQ,INE260D01016
PAYTM.NS,One 97 Communications Ltd.,Financial Services,EQ,INE982J01020
ONESOURCE.NS,Onesource Specialty Pharma Ltd.,Healthcare,EQ,INE013P01021
OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology,EQ,INE881D01027
POLICYBZR.NS,PB Fintech Ltd.,Financial Services,EQ,INE417T01026
PCBL.NS,PCBL Chemical Ltd.,Chemicals,EQ,INE602A01031
PGEL.NS,PG Electroplast Ltd.,Consumer Durables,EQ,INE457L01029
PIIND.NS,PI Industries Ltd.,Chemicals,EQ,INE603J01030
PNBHOUSING.NS,PNB Housing Finance Ltd.,Financial Services,EQ,INE572E01012
PTCIL.NS,PTC Industries Ltd.,Capital Goods,EQ,INE596F01018
PVRINOX.NS,PVR INOX Ltd.,Media Entertainment & Publication,EQ,INE191H01014
PAGEIND.NS,Page Industries Ltd.,Textiles,EQ,INE761H01022
PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,EQ,INE619A01035
PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,EQ,INE262H01021
PETRONET.NS,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,EQ,INE347G01014
PFIZER.NS,Pfizer Ltd.,Healthcare,EQ,INE182A01018
PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty,EQ,INE211B01039
PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals,EQ,INE318A01026
PPLPHARMA.NS,Piramal Pharma Ltd.,Healthcare,EQ,INE0DK501011
POLYMED.NS,Poly Medicure Ltd.,Healthcare,EQ,INE205C01021
POLYCAB.NS,Polycab India Ltd.,Capital Goods,EQ,INE455K01017
POONAWALLA.NS,Poonawalla Fincorp Ltd.,Financial Services,EQ,INE511C01022
PFC.NS,Power Finance Corporation Ltd.,Financial Services,EQ,INE134E01011
POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,EQ,INE752E01010
PRAJIND.NS,Praj Industries Ltd.,Capital Goods,EQ,INE074A01025
PREMIERENE.NS,Premier Energies Ltd.,Capital Goods,EQ,INE0BS701011
PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,EQ,INE811K01011
PGHH.NS,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,EQ,INE179A01014
PNB.NS,Punjab National Bank,Financial Services,EQ,INE160A01022
RRKABEL.NS,R R Kabel Ltd.,Capital Goods,EQ,INE777K01022
RBLBANK.NS,RBL Bank Ltd.,Financial Services,EQ,INE976G01028
RECLTD.NS,REC Ltd.,Financial Services,EQ,INE020B01018
RHIM.NS,RHI MAGNESITA INDIA LTD.,Capital Goods,EQ,INE743M01012
RITES.NS,RITES Ltd.,Construction,EQ,INE320J01015
RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods,EQ,INE944F01028
RVNL.NS,Rail Vikas Nigam Ltd.,Construction,EQ,INE415G01027
RAILTEL.NS,Railtel Corporation Of India Ltd.,Telecommunication,EQ,INE0DD101019
RAINBOW.NS,Rainbow Childrens Medicare Ltd.,Healthcare,EQ,INE961O01016
RKFORGE.NS,Ramkrishna Forgings Ltd.,Automobile and Auto Components,EQ,INE399G01023
RCF.NS,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,EQ,INE027A01015
REDINGTON.NS,Redington Ltd.,Services,EQ,INE891D01026
RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,EQ,INE002A01018
RELINFRA.NS,Reliance Infrastructure Ltd.,Power,BE,INE036A01016
RPOWER.NS,Reliance Power Ltd.,Power,EQ,INE614G01033
SBFC.NS,SBFC Finance Ltd.,Financial Services,EQ,INE423Y01016
SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,EQ,INE018E01016
SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,EQ,INE123W01016
SJVN.NS,SJVN Ltd.,Power,EQ,INE002L01015
SKFINDUS.NS,SKF India (Industrial) Ltd.,Capital Goods,BE,INE2J8701016
SKFINDIA.NS,SKF India Ltd.,Automobile and Auto Components,EQ,INE640A01023
SRF.NS,SRF Ltd.,Chemicals,EQ,INE647A01010
SAGILITY.NS,Sagility Ltd.,Information Technology,EQ,INE0W2G01015
SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare,EQ,INE570L01029
SAMMAANCAP.NS,Sammaan Capital Ltd.,Financial Services,EQ,INE148I01020
MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components,EQ,INE775A01035
SAPPHIRE.NS,Sapphire Foods India Ltd.,Consumer Services,EQ,INE806T01020
SARDAEN.NS,Sarda Energy and Minerals Ltd.,Metals & Mining,EQ,INE385C01021
SAREGAMA.NS,Saregama India Ltd,Media Entertainment & Publication,EQ,INE979A01025
SCHAEFFLER.NS,Schaeffler India Ltd.,Automobile and Auto Components,EQ,INE513A01022
SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,Capital Goods,EQ,INE839M01018
SCI.NS,Shipping Corporation of India Ltd.,Services,EQ,INE109A01011
SHREECEM.NS,Shree Cement Ltd.,Construction Materials,EQ,INE070A01015
SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,EQ,INE721A01047
SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Capital Goods,EQ,INE810G01011
ENRIN.NS,Siemens Energy India Ltd.,Capital Goods,EQ,INE1NPP01017
SIEMENS.NS,Siemens Ltd.,Capital Goods,EQ,INE003A01024
SIGNATURE.NS,Signatureglobal (India) Ltd.,Realty,EQ,INE903U01023
SOBHA.NS,Sobha Ltd.,Realty,EQ,INE671H01015
SOLARINDS.NS,Solar Industries India Ltd.,Chemicals,EQ,INE343H01029
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,EQ,INE073K01018
SONATSOFTW.NS,Sonata Software Ltd.,Information Technology,EQ,INE269A01021
STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,Financial Services,EQ,INE575P01011
SBIN.NS,State Bank of India,Financial Services,EQ,INE062A01020
SAIL.NS,Steel Authority of India Ltd.,Metals & Mining,EQ,INE114A01011
SUMICHEM.NS,Sumitomo Chemical India Ltd.,Chemicals,EQ,INE258G01013
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,EQ,INE044A01036
SUNTV.NS,Sun TV Network Ltd.,Media Entertainment & Publication,EQ,INE424H01027
SUNDARMFIN.NS,Sundaram Finance Ltd.,Financial Services,EQ,INE660A01013
SUNDRMFAST.NS,Sundram Fasteners Ltd.,Automobile and Auto Components,EQ,INE387A01021
SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods,EQ,INE195A01028
SUZLON.NS,Suzlon Energy Ltd.,Capital Goods,EQ,INE040H01021
SWANCORP.NS,Swan Corp Ltd.,Chemicals,EQ,INE665A01038
SWIGGY.NS,Swiggy Ltd.,Consumer Services,EQ,INE00H001014
SYNGENE.NS,Syngene International Ltd.,Healthcare,EQ,INE398R01022
SYRMA.NS,Syrma SGS Technology Ltd.,Capital Goods,EQ,INE0DYJ01015
TBOTEK.NS,TBO Tek Ltd.,Consumer Services,EQ,INE673O01025
TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,EQ,INE494B01023
TATACHEM.NS,Tata Chemicals Ltd.,Chemicals,EQ,INE092A01019
TATACOMM.NS,Tata Communications Ltd.,Telecommunication,EQ,INE151A01013
TCS.NS,Tata Consultancy Services Ltd.,Information Technology,EQ,INE467B01029
TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE192A01025
TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology,EQ,INE670A01012
TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services,EQ,INE672A01026
TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,EQ,INE155A01022
TATAPOWER.NS,Tata Power Co. Ltd.,Power,EQ,INE245A01021
TATASTEEL.NS,Tata Steel Ltd.,Metals & Mining,EQ,INE081A01020
TATATECH.NS,Tata Technologies Ltd.,Information Technology,EQ,INE142M01025
TTML.NS,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,EQ,INE517B01013
TECHM.NS,Tech Mahindra Ltd.,Information Technology,EQ,INE669C01036
TECHNOE.NS,Techno Electric & Engineering Company Ltd.,Construction,EQ,INE285K01026
TEJASNET.NS,Tejas Networks Ltd.,Telecommunication,EQ,INE010J01012
NIACL.NS,The New India Assurance Company Ltd.,Financial Services,EQ,INE470Y01017
RAMCOCEM.NS,The Ramco Cements Ltd.,Construction Materials,EQ,INE331A01037
THERMAX.NS,Thermax Ltd.,Capital Goods,EQ,INE152A01029
TIMKEN.NS,Timken India Ltd.,Capital Goods,EQ,INE325A01013
TITAGARH.NS,Titagarh Rail Systems Ltd.,Capital Goods,EQ,INE615H01020
TITAN.NS,Titan Company Ltd.,Consumer Durables,EQ,INE280A01028
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,EQ,INE685A01028
TORNTPOWER.NS,Torrent Power Ltd.,Power,EQ,INE813H01021
TARIL.NS,Transformers And Rectifiers (India) Ltd.,Capital Goods,EQ,INE763I01026
TRENT.NS,Trent Ltd.,Consumer Services,EQ,INE849A01020
TRIDENT.NS,Trident Ltd.,Textiles,EQ,INE064C01022
TRIVENI.NS,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,EQ,INE256C01024
TRITURBINE.NS,Triveni Turbine Ltd.,Capital Goods,EQ,INE152M01016
TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,EQ,INE974X01010
UCOBANK.NS,UCO Bank,Financial Services,EQ,INE691A01018
UNOMINDA.NS,UNO Minda Ltd.,Automobile and Auto Components,EQ,INE405E01023
UPL.NS,UPL Ltd.,Chemicals,EQ,INE628A01036
UTIAMC.NS,UTI Asset Management Company Ltd.,Financial Services,EQ,INE094J01016
ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials,EQ,INE481G01011
UNIONBANK.NS,Union Bank of India,Financial Services,EQ,INE692A01016
UBL.NS,United Breweries Ltd.,Fast Moving Consumer Goods,EQ,INE686F01025
UNITDSPR.NS,United Spirits Ltd.,Fast Moving Consumer Goods,EQ,INE854D01024
USHAMART.NS,Usha Martin Ltd.,Capital Goods,EQ,INE228A01035
VGUARD.NS,V-Guard Industries Ltd.,Consumer Durables,EQ,INE951I01027
DBREALTY.NS,Valor Estate Ltd.,Consumer Services,EQ,INE879I01012
VTL.NS,Vardhman Textiles Ltd.,Textiles,EQ,INE825A01020
VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,EQ,INE200M01039
MANYAVAR.NS,Vedant Fashions Ltd.,Consumer Services,EQ,INE825V01034
VEDL.NS,Vedanta Ltd.,Metals & Mining,EQ,INE205A01025
VENTIVE.NS,Ventive Hospitality Ltd.,Consumer Services,EQ,INE781S01027
VIJAYA.NS,Vijaya Diagnostic Centre Ltd.,Healthcare,EQ,INE043W01024
VMM.NS,Vishal Mega Mart Ltd.,Consumer Services,EQ,INE01EA01019
IDEA.NS,Vodafone Idea Ltd.,Telecommunication,EQ,INE669E01016
VOLTAS.NS,Voltas Ltd.,Consumer Durables,EQ,INE226A01021
WAAREEENER.NS,Waaree Energies Ltd.,Capital Goods,EQ,INE377N01017
WELCORP.NS,Welspun Corp Ltd.,Capital Goods,EQ,INE191B01025
WELSPUNLIV.NS,Welspun Living Ltd.,Textiles,EQ,INE192B01031
WHIRLPOOL.NS,Whirlpool of India Ltd.,Consumer Durables,EQ,INE716A01013
WIPRO.NS,Wipro Ltd.,Information Technology,EQ,INE075A01022
WOCKPHARMA.NS,Wockhardt Ltd.,Healthcare,EQ,INE049B01025
YESBANK.NS,Yes Bank Ltd.,Financial Services,EQ,INE528G01035
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,EQ,INE342J01019
ZEEL.NS,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,EQ,INE256A01028
ZENTEC.NS,Zen Technologies Ltd.,Capital Goods,EQ,INE251B01027
ZENSARTECH.NS,Zensar Technolgies Ltd.,Information Technology,EQ,INE520A01027
ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,EQ,INE010B01027
ECLERX.NS,eClerx Services Ltd.,Services,EQ,INE738I01010